"Table 3133: Train punctuality at recorded station stops by operator, Great Britain, quarterly data, April 2014 to September 2025",,,,,,,,,
This worksheet contains one table.,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,
"Some shorthand is used in this table, [z] = not applicable, [p] = provisional data",,,,,,,,,
Time period,National or Operator,"Number of recorded
station stops",Trains arriving within 59 seconds (percentage),"Trains arriving within 3 minutes 
(percentage)",Trains arriving within 15 minutes (percentage),"Moving annual total number of recorded
station stops",Moving annual average of trains arriving within 59 seconds  (percentage),Moving annual average of trains arriving within 3 minutes (percentage),Moving annual average of trains arriving within 15 minutes (percentage)
Oct to Dec 2015,England and Wales,"15,274,871",57.3,79.3,98.1,"60,583,194",64.0,84.3,98.6
Jan to Mar 2016,England and Wales,"15,327,710",63.2,84.1,98.6,"61,125,936",63.3,84.0,98.6
Apr to Jun 2016,England and Wales,"15,695,010",65.3,85.4,98.6,"61,678,002",62.8,83.6,98.5
Jul to Sep 2016,England and Wales,"15,979,129",62.4,83.4,98.4,"62,276,720",62.1,83.1,98.4
Oct to Dec 2016,England and Wales,"15,764,576",56.2,78.3,97.9,"62,766,425",61.8,82.8,98.4
Jan to Mar 2017,England and Wales,"15,890,105",64.1,84.5,98.5,"63,328,821",62.0,82.9,98.4
Apr to Jun 2017,England and Wales,"16,545,026",67.0,86.6,98.8,"64,178,837",62.5,83.3,98.4
Jul to Sep 2017,England and Wales,"16,898,304",64.3,84.8,98.7,"65,098,011",63.0,83.6,98.5
Oct to Dec 2017,England and Wales,"16,480,733",57.5,79.3,98.1,"65,814,168",63.2,83.8,98.6
Jan to Mar 2018,England and Wales,"16,266,042",62.3,82.8,98.3,"66,190,104",62.8,83.4,98.5
Apr to Jun 2018,England and Wales,"17,070,111",64.8,83.9,98.2,"66,715,189",62.2,82.7,98.4
Jul to Sep 2018,England and Wales,"17,498,099",63.2,82.6,98.1,"67,314,984",62.0,82.2,98.2
Oct to Dec 2018,England and Wales,"16,933,112",59.4,79.7,98.0,"67,767,362",62.4,82.2,98.2
Jan to Mar 2019,England and Wales,"17,469,276",67.0,85.8,98.7,"68,970,597",63.6,83.0,98.3
Apr to Jun 2019,England and Wales,"18,238,870",69.4,87.2,98.9,"70,139,356",64.8,83.9,98.4
Jul to Sep 2019,England and Wales,"18,512,044",64.8,83.7,98.3,"71,153,301",65.2,84.2,98.5
Oct to Dec 2019,England and Wales,"17,679,205",59.3,79.2,97.7,"71,899,394",65.2,84.0,98.4
Jan to Mar 2020,England and Wales,"17,457,562",65.6,83.8,98.3,"71,887,680",64.8,83.5,98.3
Apr to Jun 2020,England and Wales,"12,379,927",86.7,95.8,99.6,"66,028,737",67.6,84.8,98.4
Jul to Sep 2020,England and Wales,"15,896,581",79.6,92.8,99.3,"63,413,274",71.5,87.1,98.6
Oct to Dec 2020,England and Wales,"16,497,843",75.1,90.7,99.2,"62,231,912",75.9,90.3,99.0
Jan to Mar 2021,England and Wales,"14,904,416",80.5,93.0,99.3,"59,678,766",80.1,92.9,99.3
Apr to Jun 2021,England and Wales,"16,302,566",78.2,92.1,99.2,"63,601,405",78.3,92.1,99.2
Jul to Sep 2021,England and Wales,"16,967,106",74.6,90.0,98.9,"64,671,931",77.0,91.4,99.1
Oct to Dec 2021,England and Wales,"16,819,260",68.2,85.9,98.5,"64,993,348",75.2,90.2,99.0
Jan to Mar 2022,England and Wales,"15,958,850",72.5,88.8,98.8,"66,047,782",73.4,89.2,98.9
Apr to Jun 2022,England and Wales,"16,655,723",72.4,88.5,98.7,"66,400,939",71.9,88.3,98.7
Jul to Sep 2022,England and Wales,"16,787,208",67.4,84.9,98.1,"66,221,041",70.1,87.0,98.5
Oct to Dec 2022,England and Wales,"15,243,075",62.3,81.3,97.8,"64,644,855",68.8,86.0,98.4
Jan to Mar 2023,England and Wales,"16,545,905",68.0,85.3,98.3,"65,231,911",67.6,85.1,98.2
Apr to Jun 2023,England and Wales,"17,393,104",70.4,86.6,98.3,"65,969,292",67.1,84.6,98.1
Jul to Sep 2023,England and Wales,"17,385,038",68.9,85.9,98.3,"66,567,121",67.5,84.9,98.2
Oct to Dec 2023,England and Wales,"17,578,354",62.1,80.7,97.4,"68,902,401",67.3,84.6,98.1
Jan to Mar 2024,England and Wales,"17,952,476",68.1,85.5,98.4,"70,308,971",67.3,84.7,98.1
Apr to Jun 2024,England and Wales,"18,458,671",69.9,86.5,98.4,"71,374,539",67.2,84.7,98.1
Jul to Sep 2024,England and Wales,"19,152,282",67.4,84.7,98.1,"73,141,782",66.9,84.4,98.1
Oct to Dec 2024,England and Wales,"18,343,069",62.1,80.7,97.6,"73,906,498",66.9,84.3,98.1
Jan to Mar 2025,England and Wales,"18,757,163",67.7,85.4,98.4,"74,711,185",66.8,84.3,98.1
Apr to Jun 2025 [p],England and Wales,"19,374,097",68.5,85.7,98.3,"75,626,610",66.5,84.2,98.1
Jul to Sep 2025 [p],England and Wales,"19,597,700",66.4,84.3,98.1,"76,072,029",66.2,84.1,98.1
Apr to Jun 2014,Scotland,"1,501,227",69.2,91.4,99.7,"5,783,024",62.3,87.3,99.5
Jul to Sep 2014,Scotland,"1,543,296",62.3,85.5,99.3,"5,896,762",63.1,87.1,99.5
Oct to Dec 2014,Scotland,"1,462,054",56.5,82.6,99.3,"5,959,954",63.8,87.5,99.5
Jan to Mar 2015,Scotland,"1,478,805",62.9,87.0,99.5,"5,985,381",62.8,86.6,99.4
Apr to Jun 2015,Scotland,"1,515,768",67.9,90.8,99.7,"5,999,922",62.4,86.5,99.4
Jul to Sep 2015,Scotland,"1,534,842",64.7,88.7,99.6,"5,991,468",63.1,87.3,99.5
Oct to Dec 2015,Scotland,"1,499,098",54.2,80.4,99.1,"6,028,513",62.4,86.8,99.5
Jan to Mar 2016,Scotland,"1,536,633",63.3,87.4,99.5,"6,086,341",62.5,86.9,99.5
Apr to Jun 2016,Scotland,"1,507,719",65.4,87.6,99.5,"6,078,292",61.9,86.1,99.5
Jul to Sep 2016,Scotland,"1,558,492",60.7,84.8,99.5,"6,101,942",60.9,85.1,99.4
Oct to Dec 2016,Scotland,"1,559,193",55.4,80.6,99.4,"6,162,037",61.1,85.1,99.5
Jan to Mar 2017,Scotland,"1,565,165",65.1,88.2,99.7,"6,190,569",61.6,85.3,99.5
Apr to Jun 2017,Scotland,"1,604,427",67.3,88.8,99.6,"6,287,277",62.1,85.6,99.5
Jul to Sep 2017,Scotland,"1,623,492",67.4,88.9,99.7,"6,352,277",63.8,86.7,99.6
Oct to Dec 2017,Scotland,"1,543,703",54.2,78.2,99.2,"6,336,787",63.6,86.1,99.5
Jan to Mar 2018,Scotland,"1,508,820",63.1,85.4,99.3,"6,280,442",63.1,85.4,99.5
Apr to Jun 2018,Scotland,"1,575,792",65.9,87.1,99.5,"6,251,806",62.7,84.9,99.4
Jul to Sep 2018,Scotland,"1,600,330",62.8,84.4,99.3,"6,228,644",61.5,83.8,99.3
Oct to Dec 2018,Scotland,"1,602,932",54.6,78.2,99.1,"6,287,873",61.6,83.7,99.3
Jan to Mar 2019,Scotland,"1,966,256",66.2,87.4,99.6,"6,745,309",62.6,84.4,99.4
Apr to Jun 2019,Scotland,"2,256,588",70.2,90.1,99.6,"7,426,105",64.2,85.6,99.4
Jul to Sep 2019,Scotland,"2,275,299",67.9,88.6,99.5,"8,101,075",65.5,86.7,99.5
Oct to Dec 2019,Scotland,"2,201,011",60.1,83.5,99.4,"8,699,153",66.2,87.4,99.5
Jan to Mar 2020,Scotland,"2,143,457",67.0,88.0,99.5,"8,876,355",66.3,87.5,99.5
Apr to Jun 2020,Scotland,"1,228,822",84.3,96.1,99.8,"7,848,589",68.0,88.2,99.5
Jul to Sep 2020,Scotland,"1,873,841",77.3,93.3,99.6,"7,447,131",70.4,89.3,99.6
Oct to Dec 2020,Scotland,"2,044,398",72.3,90.8,99.5,"7,290,518",74.1,91.5,99.6
Jan to Mar 2021,Scotland,"1,707,701",79.7,94.0,99.5,"6,854,762",77.7,93.2,99.6
Apr to Jun 2021,Scotland,"1,741,482",77.2,93.3,99.6,"7,367,422",76.5,92.8,99.6
Jul to Sep 2021,Scotland,"1,850,440",72.9,91.1,99.5,"7,344,021",75.3,92.2,99.5
Oct to Dec 2021,Scotland,"1,863,261",63.1,85.3,99.2,"7,162,884",73.0,90.8,99.5
