"Table 3133: Train punctuality at recorded station stops by operator, Great Britain, quarterly data, April 2014 to September 2025",,,,,,,,,
This worksheet contains one table.,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,
"Some shorthand is used in this table, [z] = not applicable, [p] = provisional data",,,,,,,,,
Time period,National or Operator,"Number of recorded
station stops",Trains arriving within 59 seconds (percentage),"Trains arriving within 3 minutes 
(percentage)",Trains arriving within 15 minutes (percentage),"Moving annual total number of recorded
station stops",Moving annual average of trains arriving within 59 seconds  (percentage),Moving annual average of trains arriving within 3 minutes (percentage),Moving annual average of trains arriving within 15 minutes (percentage)
Jan to Mar 2015,Caledonian Sleeper,66,68.2,77.3,95.5,[z],[z],[z],[z]
Apr to Jun 2015,Caledonian Sleeper,"4,360",64.5,76.1,92.4,[z],[z],[z],[z]
Jul to Sep 2015,Caledonian Sleeper,"4,413",65.2,78.0,92.2,[z],[z],[z],[z]
Oct to Dec 2015,Caledonian Sleeper,"4,081",57.9,70.5,88.6,"12,921",62.7,75.0,91.1
Jan to Mar 2016,Caledonian Sleeper,"3,934",59.3,72.4,89.0,"16,789",61.8,74.3,90.6
Apr to Jun 2016,Caledonian Sleeper,"4,392",64.1,77.2,92.3,"16,820",61.7,74.6,90.6
Jul to Sep 2016,Caledonian Sleeper,"4,353",63.2,76.4,90.6,"16,761",61.2,74.2,90.2
Oct to Dec 2016,Caledonian Sleeper,"4,262",55.8,68.0,88.9,"16,941",60.7,73.5,90.2
Jan to Mar 2017,Caledonian Sleeper,"4,368",65.8,79.7,94.0,"17,375",62.3,75.4,91.5
Apr to Jun 2017,Caledonian Sleeper,"4,253",67.7,79.2,89.8,"17,237",63.1,75.9,90.8
Jul to Sep 2017,Caledonian Sleeper,"4,543",72.7,84.7,94.6,"17,426",65.6,78.0,91.9
Oct to Dec 2017,Caledonian Sleeper,"4,032",56.0,68.4,86.1,"17,196",65.8,78.3,91.3
Jan to Mar 2018,Caledonian Sleeper,"4,148",64.5,78.0,92.2,"16,976",65.5,77.8,90.8
Apr to Jun 2018,Caledonian Sleeper,"4,446",70.6,82.6,94.4,"17,168",66.3,78.7,92.0
Jul to Sep 2018,Caledonian Sleeper,"4,592",65.1,77.2,92.5,"17,217",64.2,76.7,91.4
Oct to Dec 2018,Caledonian Sleeper,"4,203",63.4,76.0,93.0,"17,388",66.0,78.5,93.1
Jan to Mar 2019,Caledonian Sleeper,"4,387",70.2,81.4,93.4,"17,627",67.4,79.3,93.3
Apr to Jun 2019,Caledonian Sleeper,"4,494",63.0,74.2,88.0,"17,676",65.4,77.2,91.7
Jul to Sep 2019,Caledonian Sleeper,"4,519",64.3,74.3,87.6,"17,603",65.2,76.5,90.4
Oct to Dec 2019,Caledonian Sleeper,"4,175",52.5,63.7,82.3,"17,575",62.6,73.5,87.9
Jan to Mar 2020,Caledonian Sleeper,"4,258",66.4,76.8,90.6,"17,446",61.7,72.3,87.2
Apr to Jun 2020,Caledonian Sleeper,"2,594",78.6,85.3,93.5,"15,546",64.1,74.0,88.0
Jul to Sep 2020,Caledonian Sleeper,"3,036",73.7,83.0,93.9,"14,063",66.1,75.8,89.4
Oct to Dec 2020,Caledonian Sleeper,"2,810",71.0,80.1,93.4,"12,698",71.7,80.7,92.6
Jan to Mar 2021,Caledonian Sleeper,"1,957",74.6,83.1,93.6,"10,396",74.4,82.8,93.6
Apr to Jun 2021,Caledonian Sleeper,"2,994",70.5,79.2,91.0,"10,797",72.3,81.2,92.9
Jul to Sep 2021,Caledonian Sleeper,"3,942",68.1,77.6,91.1,"11,703",70.5,79.5,92.0
Oct to Dec 2021,Caledonian Sleeper,"3,830",62.6,72.2,86.3,"12,723",68.0,77.2,90.0
Jan to Mar 2022,Caledonian Sleeper,"4,201",72.3,82.1,92.6,"14,967",68.3,77.8,90.3
Apr to Jun 2022,Caledonian Sleeper,"4,017",73.8,81.5,90.3,"15,990",69.3,78.5,90.1
Jul to Sep 2022,Caledonian Sleeper,"4,198",67.5,77.5,90.4,"16,245",69.2,78.4,90.0
Oct to Dec 2022,Caledonian Sleeper,"3,925",60.6,71.1,88.0,"16,341",68.6,78.1,90.3
Jan to Mar 2023,Caledonian Sleeper,"3,934",70.3,79.3,92.2,"16,074",68.1,77.4,90.2
Apr to Jun 2023,Caledonian Sleeper,"3,864",70.8,77.8,89.0,"15,921",67.3,76.5,89.9
Jul to Sep 2023,Caledonian Sleeper,"4,464",76.4,85.5,93.9,"16,187",69.8,78.7,90.9
Oct to Dec 2023,Caledonian Sleeper,"3,957",59.3,67.3,85.5,"16,218",69.4,77.7,90.3
Jan to Mar 2024,Caledonian Sleeper,"3,940",69.5,78.8,91.6,"16,225",69.2,77.6,90.1
Apr to Jun 2024,Caledonian Sleeper,"4,197",75.2,82.4,91.4,"16,557",70.3,78.8,90.7
Jul to Sep 2024,Caledonian Sleeper,"4,568",77.7,84.9,94.3,"16,662",70.7,78.6,90.8
Oct to Dec 2024,Caledonian Sleeper,"4,072",61.6,72.0,89.8,"16,777",71.2,79.7,91.8
Jan to Mar 2025,Caledonian Sleeper,"3,759",62.9,74.1,91.1,"16,595",69.8,78.7,91.7
Apr to Jun 2025 [p],Caledonian Sleeper,"3,982",62.8,73.4,90.1,"16,381",66.7,76.4,91.4
Jul to Sep 2025 [p],Caledonian Sleeper,"4,079",62.6,71.4,86.6,"15,892",62.5,72.7,89.4
Apr to Jun 2014,Chiltern Railways,"240,378",78.7,92.2,99.4,"971,741",75.7,90.1,99.2
Jul to Sep 2014,Chiltern Railways,"244,732",75.8,90.7,99.3,"967,321",75.2,89.9,99.2
Oct to Dec 2014,Chiltern Railways,"237,494",69.5,86.3,99.0,"963,287",74.7,89.7,99.2
Jan to Mar 2015,Chiltern Railways,"234,192",77.5,91.5,99.3,"956,796",75.4,90.2,99.2
Apr to Jun 2015,Chiltern Railways,"237,646",74.8,90.1,99.3,"954,064",74.4,89.7,99.2
Jul to Sep 2015,Chiltern Railways,"247,283",74.7,89.9,99.2,"956,616",74.1,89.5,99.2
Oct to Dec 2015,Chiltern Railways,"251,841",64.2,83.1,98.8,"970,963",72.7,88.6,99.1
Jan to Mar 2016,Chiltern Railways,"256,361",73.2,89.3,99.3,"993,132",71.7,88.1,99.1
Apr to Jun 2016,Chiltern Railways,"260,756",71.1,87.9,99.1,"1,016,242",70.8,87.6,99.1
Jul to Sep 2016,Chiltern Railways,"257,713",65.9,85.7,98.7,"1,026,672",68.6,86.5,98.9
Oct to Dec 2016,Chiltern Railways,"257,456",66.4,85.0,99.1,"1,032,286",69.2,87.0,99.0
Jan to Mar 2017,Chiltern Railways,"261,345",71.2,88.7,99.1,"1,037,270",68.7,86.9,99.0
Apr to Jun 2017,Chiltern Railways,"264,077",69.9,87.5,98.9,"1,040,591",68.4,86.8,99.0
Jul to Sep 2017,Chiltern Railways,"267,303",70.2,87.9,99.1,"1,050,181",69.4,87.3,99.1
Oct to Dec 2017,Chiltern Railways,"261,622",65.2,84.3,98.7,"1,054,347",69.1,87.1,99.0
Jan to Mar 2018,Chiltern Railways,"261,279",71.3,88.0,99.1,"1,054,281",69.2,86.9,99.0
Apr to Jun 2018,Chiltern Railways,"265,942",71.4,88.9,99.2,"1,056,146",69.5,87.3,99.0
Jul to Sep 2018,Chiltern Railways,"264,519",62.3,83.0,98.7,"1,053,362",67.5,86.1,98.9
Oct to Dec 2018,Chiltern Railways,"261,591",66.3,85.3,99.0,"1,053,331",67.8,86.3,99.0
Jan to Mar 2019,Chiltern Railways,"261,013",73.4,89.6,99.2,"1,053,064",68.3,86.7,99.0
Apr to Jun 2019,Chiltern Railways,"263,306",72.2,89.0,99.2,"1,050,428",68.5,86.7,99.0
Jul to Sep 2019,Chiltern Railways,"268,911",65.6,85.4,99.0,"1,054,821",69.4,87.3,99.1
Oct to Dec 2019,Chiltern Railways,"278,084",62.3,82.2,98.8,"1,071,314",68.3,86.5,99.0
Jan to Mar 2020,Chiltern Railways,"270,147",68.9,86.6,98.9,"1,080,449",67.2,85.8,99.0
Apr to Jun 2020,Chiltern Railways,"197,322",83.2,94.6,99.5,"1,014,465",69.0,86.6,99.0
Jul to Sep 2020,Chiltern Railways,"258,247",78.8,92.0,99.1,"1,003,800",72.4,88.3,99.0
Oct to Dec 2020,Chiltern Railways,"260,787",77.0,91.4,99.1,"986,503",76.5,90.9,99.1
Jan to Mar 2021,Chiltern Railways,"202,534",83.0,94.2,99.4,"918,890",80.2,92.9,99.3
Apr to Jun 2021,Chiltern Railways,"244,333",77.7,91.6,99.4,"965,901",78.9,92.2,99.2
Jul to Sep 2021,Chiltern Railways,"247,506",71.6,88.5,99.0,"955,160",77.1,91.3,99.2
Oct to Dec 2021,Chiltern Railways,"239,091",69.0,86.9,98.9,"933,464",75.0,90.1,99.2
Jan to Mar 2022,Chiltern Railways,"238,048",78.7,92.2,99.3,"968,978",74.2,89.8,99.1
Apr to Jun 2022,Chiltern Railways,"232,966",76.4,90.7,99.1,"957,610",73.9,89.6,99.1
Jul to Sep 2022,Chiltern Railways,"233,734",67.4,84.7,98.1,"943,839",72.9,88.6,98.9
Oct to Dec 2022,Chiltern Railways,"195,909",67.9,85.1,98.7,"900,658",72.8,88.3,98.8
Jan to Mar 2023,Chiltern Railways,"212,698",74.3,88.4,98.8,"875,307",71.6,87.3,98.7
Apr to Jun 2023,Chiltern Railways,"216,555",74.3,87.6,98.5,"858,897",71.0,86.4,98.5
Jul to Sep 2023,Chiltern Railways,"200,836",81.8,92.1,99.0,"825,998",74.6,88.3,98.7
Oct to Dec 2023,Chiltern Railways,"220,722",76.4,89.2,98.7,"850,811",76.6,89.3,98.7
Jan to Mar 2024,Chiltern Railways,"220,563",79.4,90.6,98.2,"858,676",77.9,89.8,98.6
Apr to Jun 2024,Chiltern Railways,"226,860",82.0,92.5,99.1,"868,981",79.8,91.1,98.7
Jul to Sep 2024,Chiltern Railways,"238,410",76.3,89.3,98.7,"906,555",78.5,90.4,98.7
Oct to Dec 2024,Chiltern Railways,"229,633",74.6,87.7,98.1,"915,466",78.0,90.0,98.5
Jan to Mar 2025,Chiltern Railways,"232,545",82.7,92.7,99.0,"927,448",78.9,90.5,98.7
Apr to Jun 2025 [p],Chiltern Railways,"239,084",78.1,89.7,98.5,"939,671",77.9,89.9,98.6
Jul to Sep 2025 [p],Chiltern Railways,"244,211",75.2,88.6,98.7,"945,472",77.6,89.7,98.6
Apr to Jun 2014,CrossCountry,"305,608",50.9,76.0,97.2,"1,181,595",45.1,69.6,95.3
Jul to Sep 2014,CrossCountry,"305,658",48.1,73.5,96.6,"1,181,204",45.3,70.0,95.4
Oct to Dec 2014,CrossCountry,"295,213",40.2,64.7,94.5,"1,183,935",45.5,70.3,95.7
Jan to Mar 2015,CrossCountry,"291,572",51.6,76.0,97.0,"1,198,051",47.7,72.6,96.3
Apr to Jun 2015,CrossCountry,"305,948",52.7,76.6,97.4,"1,198,390",48.2,72.7,96.4
Jul to Sep 2015,CrossCountry,"310,055",50.1,74.3,96.6,"1,202,787",48.7,72.9,96.4
Oct to Dec 2015,CrossCountry,"302,271",41.1,65.7,94.9,"1,209,846",48.9,73.2,96.5
Jan to Mar 2016,CrossCountry,"299,536",51.1,75.4,96.8,"1,217,810",48.8,73.0,96.4
Apr to Jun 2016,CrossCountry,"306,622",53.7,77.8,97.1,"1,218,485",49.0,73.3,96.4
Jul to Sep 2016,CrossCountry,"309,098",49.0,73.7,96.6,"1,217,527",48.7,73.2,96.3
Oct to Dec 2016,CrossCountry,"300,953",42.4,67.2,95.4,"1,216,210",49.1,73.6,96.5
Jan to Mar 2017,CrossCountry,"299,407",51.9,77.1,97.4,"1,216,080",49.3,74.0,96.6
Apr to Jun 2017,CrossCountry,"309,973",51.7,76.0,96.7,"1,219,431",48.8,73.5,96.5
Jul to Sep 2017,CrossCountry,"312,631",48.8,74.0,97.2,"1,222,964",48.7,73.6,96.7
Oct to Dec 2017,CrossCountry,"289,884",38.8,63.4,94.9,"1,211,895",47.9,72.8,96.6
Jan to Mar 2018,CrossCountry,"294,008",47.0,71.2,95.9,"1,206,496",46.7,71.3,96.2
Apr to Jun 2018,CrossCountry,"307,282",45.8,69.1,95.1,"1,203,805",45.2,69.5,95.8
Jul to Sep 2018,CrossCountry,"305,780",42.5,64.9,93.9,"1,196,953",43.6,67.2,95.0
Oct to Dec 2018,CrossCountry,"302,151",41.2,64.6,94.3,"1,209,220",44.1,67.4,94.8
Jan to Mar 2019,CrossCountry,"301,630",52.9,75.9,97.0,"1,216,842",45.6,68.6,95.1
Apr to Jun 2019,CrossCountry,"313,075",51.6,74.1,96.2,"1,222,635",47.1,69.9,95.4
Jul to Sep 2019,CrossCountry,"310,776",46.6,68.8,94.4,"1,227,632",48.1,70.9,95.5
Oct to Dec 2019,CrossCountry,"302,047",40.5,62.3,92.8,"1,227,528",47.9,70.3,95.1
Jan to Mar 2020,CrossCountry,"293,077",49.2,70.6,95.1,"1,218,975",47.0,69.0,94.6
Apr to Jun 2020,CrossCountry,"183,219",79.3,91.9,98.8,"1,089,119",51.1,71.4,94.9
Jul to Sep 2020,CrossCountry,"187,875",67.4,85.7,97.8,"966,218",55.7,75.0,95.6
Oct to Dec 2020,CrossCountry,"187,539",61.3,81.6,97.8,"851,710",62.4,81.0,97.1
Jan to Mar 2021,CrossCountry,"184,819",69.1,86.2,97.4,"743,452",69.2,86.3,98.0
Apr to Jun 2021,CrossCountry,"207,130",66.8,84.5,97.2,"767,363",66.1,84.5,97.6
Jul to Sep 2021,CrossCountry,"219,647",60.5,80.1,96.6,"799,135",64.3,83.0,97.2
Oct to Dec 2021,CrossCountry,"208,448",52.6,73.7,95.7,"820,045",62.0,81.0,96.7
Jan to Mar 2022,CrossCountry,"184,795",60.4,80.1,96.3,"820,020",60.1,79.6,96.5
Apr to Jun 2022,CrossCountry,"203,058",58.6,77.8,95.9,"815,948",58.0,77.9,96.1
Jul to Sep 2022,CrossCountry,"205,618",46.7,67.6,93.4,"801,919",54.4,74.7,95.3
Oct to Dec 2022,CrossCountry,"183,254",43.3,65.0,92.7,"776,725",52.3,72.6,94.6
Jan to Mar 2023,CrossCountry,"201,719",51.7,73.7,95.7,"793,649",50.2,71.2,94.5
Apr to Jun 2023,CrossCountry,"211,273",49.7,70.3,93.5,"801,865",48.0,69.2,93.9
Jul to Sep 2023,CrossCountry,"226,201",48.8,69.4,94.1,"822,448",48.5,69.7,94.0
Oct to Dec 2023,CrossCountry,"223,125",40.3,61.0,90.7,"862,318",47.5,68.4,93.4
Jan to Mar 2024,CrossCountry,"235,759",50.0,70.9,94.3,"896,358",47.2,67.9,93.2
Apr to Jun 2024,CrossCountry,"242,867",51.3,72.6,94.9,"927,951",47.7,68.6,93.5
Jul to Sep 2024,CrossCountry,"239,249",46.4,68.0,93.6,"940,999",47.1,68.3,93.4
Oct to Dec 2024,CrossCountry,"231,837",41.1,61.9,91.0,"949,712",47.3,68.4,93.5
Jan to Mar 2025,CrossCountry,"251,240",53.5,74.3,95.2,"965,193",48.2,69.3,93.7
Apr to Jun 2025 [p],CrossCountry,"257,563",49.8,70.7,93.6,"979,889",47.9,68.9,93.4
Jul to Sep 2025 [p],CrossCountry,"253,849",46.6,67.6,92.5,"994,489",47.9,68.8,93.1
Apr to Jun 2014,East Midlands Railway,"289,078",62.9,81.9,97.9,"1,105,011",60.7,80.0,97.5
Jul to Sep 2014,East Midlands Railway,"288,299",62.9,82.4,98.3,"1,134,759",60.5,80.2,97.8
Oct to Dec 2014,East Midlands Railway,"285,305",55.6,76.3,97.4,"1,141,475",60.0,79.8,97.9
Jan to Mar 2015,East Midlands Railway,"285,063",64.9,83.8,98.3,"1,147,745",61.6,81.1,98.0
Apr to Jun 2015,East Midlands Railway,"295,319",69.4,86.8,98.8,"1,153,986",63.3,82.4,98.2
Jul to Sep 2015,East Midlands Railway,"297,410",65.6,84.1,98.2,"1,163,097",64.0,82.8,98.2
Oct to Dec 2015,East Midlands Railway,"291,569",56.3,76.5,97.7,"1,169,361",64.1,82.8,98.2
Jan to Mar 2016,East Midlands Railway,"291,450",65.4,84.1,98.3,"1,175,748",64.2,82.9,98.3
Apr to Jun 2016,East Midlands Railway,"295,645",66.4,84.5,98.3,"1,176,074",63.4,82.3,98.1
Jul to Sep 2016,East Midlands Railway,"298,249",62.8,82.0,98.2,"1,176,912",62.7,81.8,98.1
Oct to Dec 2016,East Midlands Railway,"288,407",54.6,75.3,97.2,"1,173,750",62.3,81.5,98.0
Jan to Mar 2017,East Midlands Railway,"300,543",66.0,84.9,98.6,"1,182,843",62.5,81.7,98.1
Apr to Jun 2017,East Midlands Railway,"322,609",66.0,84.6,98.3,"1,209,807",62.5,81.8,98.1
Jul to Sep 2017,East Midlands Railway,"330,997",64.4,83.7,98.6,"1,242,556",62.9,82.3,98.2
Oct to Dec 2017,East Midlands Railway,"319,783",53.3,74.6,97.3,"1,273,932",62.4,81.9,98.2
Jan to Mar 2018,East Midlands Railway,"310,247",58.7,79.3,97.5,"1,283,636",60.7,80.6,97.9
Apr to Jun 2018,East Midlands Railway,"324,914",61.0,80.4,97.6,"1,285,941",59.4,79.5,97.8
Jul to Sep 2018,East Midlands Railway,"312,948",57.0,76.3,96.7,"1,267,892",57.5,77.7,97.3
Oct to Dec 2018,East Midlands Railway,"315,289",50.7,71.2,96.2,"1,263,398",56.9,76.8,97.0
Jan to Mar 2019,East Midlands Railway,"315,853",61.3,80.9,98.1,"1,269,004",57.5,77.2,97.2
Apr to Jun 2019,East Midlands Railway,"324,596",62.5,81.6,98.0,"1,268,687",57.9,77.5,97.3
Jul to Sep 2019,East Midlands Railway,"321,041",59.1,78.3,97.1,"1,276,779",58.4,78.0,97.4
Oct to Dec 2019,East Midlands Railway,"315,224",49.9,69.7,95.9,"1,276,714",58.2,77.7,97.3
Jan to Mar 2020,East Midlands Railway,"306,210",60.3,78.8,97.6,"1,267,071",58.0,77.1,97.2
Apr to Jun 2020,East Midlands Railway,"220,645",82.3,93.3,99.1,"1,163,119",61.3,78.9,97.3
Jul to Sep 2020,East Midlands Railway,"273,239",75.0,89.4,98.9,"1,115,318",65.3,81.7,97.7
Oct to Dec 2020,East Midlands Railway,"296,309",69.5,85.8,98.4,"1,096,402",70.9,86.2,98.5
Jan to Mar 2021,East Midlands Railway,"262,328",75.7,89.1,98.7,"1,052,521",75.2,89.1,98.8
Apr to Jun 2021,East Midlands Railway,"321,665",65.8,83.6,98.2,"1,153,541",71.2,86.8,98.5
Jul to Sep 2021,East Midlands Railway,"314,361",57.2,78.2,97.3,"1,194,663",66.6,83.9,98.1
Oct to Dec 2021,East Midlands Railway,"304,191",50.6,71.8,96.4,"1,202,545",61.9,80.4,97.6
Jan to Mar 2022,East Midlands Railway,"317,289",59.0,79.1,97.6,"1,257,505",58.2,78.2,97.4
Apr to Jun 2022,East Midlands Railway,"324,286",58.0,78.3,97.3,"1,260,127",56.3,76.9,97.2
Jul to Sep 2022,East Midlands Railway,"318,836",52.1,72.4,95.7,"1,264,602",55.0,75.4,96.8
Oct to Dec 2022,East Midlands Railway,"277,285",47.9,68.8,95.2,"1,237,695",54.5,74.8,96.5
Jan to Mar 2023,East Midlands Railway,"314,658",56.4,77.4,97.4,"1,235,065",53.8,74.4,96.4
Apr to Jun 2023,East Midlands Railway,"332,910",54.9,75.7,96.5,"1,243,688",53.0,73.8,96.2
Jul to Sep 2023,East Midlands Railway,"352,360",54.1,75.8,96.9,"1,277,213",53.5,74.7,96.6
Oct to Dec 2023,East Midlands Railway,"349,593",44.8,66.3,94.0,"1,349,521",52.4,73.7,96.2
Jan to Mar 2024,East Midlands Railway,"368,485",54.1,75.1,96.7,"1,403,348",52.0,73.2,96.0
Apr to Jun 2024,East Midlands Railway,"375,152",56.7,77.2,97.0,"1,445,590",52.5,73.7,96.2
Jul to Sep 2024,East Midlands Railway,"383,839",53.0,74.0,96.0,"1,477,068",52.3,73.3,96.0
Oct to Dec 2024,East Midlands Railway,"366,220",49.7,70.9,95.6,"1,493,695",53.4,74.3,96.3
Jan to Mar 2025,East Midlands Railway,"375,133",58.0,78.1,96.9,"1,500,343",54.4,75.0,96.4
Apr to Jun 2025 [p],East Midlands Railway,"381,414",57.8,77.6,96.7,"1,506,606",54.7,75.2,96.3
Jul to Sep 2025 [p],East Midlands Railway,"379,622",55.1,75.4,96.5,"1,502,389",55.2,75.5,96.4
Apr to Jun 2014,Elizabeth line,"284,682",71.4,90.8,99.6,"1,056,737",71.2,90.7,99.6
Jul to Sep 2014,Elizabeth line,"293,809",69.0,89.5,99.5,"1,086,676",69.5,89.8,99.6
Oct to Dec 2014,Elizabeth line,"282,947",64.5,87.0,99.5,"1,117,719",68.8,89.4,99.6
Jan to Mar 2015,Elizabeth line,"291,251",70.4,89.7,99.7,"1,152,688",68.8,89.3,99.6
Apr to Jun 2015,Elizabeth line,"290,278",70.9,89.8,99.4,"1,158,285",68.7,89.0,99.5
Jul to Sep 2015,Elizabeth line,"308,369",74.2,92.4,99.8,"1,172,845",70.1,89.8,99.6
Oct to Dec 2015,Elizabeth line,"296,698",69.6,89.9,99.8,"1,186,596",71.3,90.5,99.7
Jan to Mar 2016,Elizabeth line,"259,262",73.8,91.4,99.6,"1,154,607",72.1,90.9,99.7
Apr to Jun 2016,Elizabeth line,"299,357",74.4,92.4,99.7,"1,163,686",73.0,91.5,99.7
Jul to Sep 2016,Elizabeth line,"310,928",71.4,91.0,99.7,"1,166,244",72.3,91.2,99.7
Oct to Dec 2016,Elizabeth line,"281,212",65.5,87.7,99.6,"1,150,758",71.3,90.7,99.7
Jan to Mar 2017,Elizabeth line,"262,186",72.5,91.2,99.6,"1,153,682",71.0,90.6,99.7
Apr to Jun 2017,Elizabeth line,"286,214",71.0,90.6,99.6,"1,140,539",70.1,90.1,99.6
Jul to Sep 2017,Elizabeth line,"329,540",69.8,90.6,99.6,"1,159,152",69.7,90.0,99.6
Oct to Dec 2017,Elizabeth line,"282,345",62.7,85.1,99.6,"1,160,285",69.0,89.4,99.6
Jan to Mar 2018,Elizabeth line,"265,755",69.0,88.7,99.6,"1,163,854",68.2,88.8,99.6
Apr to Jun 2018,Elizabeth line,"331,499",78.1,93.0,99.8,"1,209,139",70.3,89.5,99.6
Jul to Sep 2018,Elizabeth line,"366,167",75.9,92.1,99.7,"1,245,766",72.0,90.0,99.7
Oct to Dec 2018,Elizabeth line,"331,012",72.4,90.3,99.7,"1,294,433",74.2,91.2,99.7
Jan to Mar 2019,Elizabeth line,"321,365",77.0,93.2,99.8,"1,350,043",75.9,92.1,99.7
Apr to Jun 2019,Elizabeth line,"371,987",81.4,94.9,99.8,"1,390,531",76.8,92.7,99.7
Jul to Sep 2019,Elizabeth line,"383,573",79.5,93.9,99.9,"1,407,937",77.8,93.2,99.8
Oct to Dec 2019,Elizabeth line,"384,134",76.3,92.2,99.8,"1,461,059",78.6,93.5,99.8
Jan to Mar 2020,Elizabeth line,"433,697",74.3,91.5,99.8,"1,573,391",77.7,93.0,99.8
Apr to Jun 2020,Elizabeth line,"429,505",90.9,97.6,99.9,"1,630,909",80.4,93.8,99.8
Jul to Sep 2020,Elizabeth line,"496,697",89.0,96.6,99.9,"1,744,033",83.0,94.6,99.8
Oct to Dec 2020,Elizabeth line,"475,869",86.5,95.4,99.8,"1,835,768",85.3,95.3,99.8
Jan to Mar 2021,Elizabeth line,"499,618",88.6,95.8,99.8,"1,901,690",88.7,96.3,99.8
Apr to Jun 2021,Elizabeth line,"521,656",87.9,95.6,99.8,"1,993,841",88.0,95.8,99.8
Jul to Sep 2021,Elizabeth line,"575,715",86.7,95.6,99.8,"2,072,859",87.4,95.6,99.8
Oct to Dec 2021,Elizabeth line,"563,063",81.2,92.8,99.6,"2,160,053",86.0,94.9,99.7
Jan to Mar 2022,Elizabeth line,"521,427",83.1,93.4,99.6,"2,181,862",84.7,94.4,99.7
Apr to Jun 2022,Elizabeth line [note 4],"681,070",88.1,95.3,99.7,"2,341,275",85.0,94.3,99.7
Jul to Sep 2022,Elizabeth line,"849,350",87.3,94.6,99.5,"2,614,910",85.4,94.1,99.6
Oct to Dec 2022,Elizabeth line,"853,781",83.8,92.4,99.2,"2,905,628",85.7,93.9,99.5
Jan to Mar 2023,Elizabeth line,"905,371",85.2,93.0,99.2,"3,289,571",86.0,93.7,99.4
Apr to Jun 2023,Elizabeth line,"1,007,648",82.5,90.8,98.8,"3,616,149",84.6,92.6,99.1
Jul to Sep 2023,Elizabeth line,"1,057,791",82.8,91.4,98.8,"3,824,590",83.5,91.9,99.0
Oct to Dec 2023,Elizabeth line,"1,035,044",76.5,87.4,98.1,"4,005,853",81.6,90.6,98.7
Jan to Mar 2024,Elizabeth line,"1,002,483",81.8,91.7,99.1,"4,102,965",80.9,90.3,98.7
Apr to Jun 2024,Elizabeth line,"1,058,612",83.1,92.4,99.3,"4,153,929",81.0,90.7,98.8
Jul to Sep 2024,Elizabeth line,"1,075,604",81.3,91.4,99.1,"4,171,743",80.7,90.7,98.9
Oct to Dec 2024,Elizabeth line,"1,032,627",78.2,90.5,99.3,"4,169,326",81.1,91.5,99.2
Jan to Mar 2025,Elizabeth line,"991,168",74.5,88.4,99.0,"4,158,011",79.4,90.7,99.2
Apr to Jun 2025 [p],Elizabeth line,"1,069,864",80.6,92.0,99.3,"4,169,263",78.7,90.6,99.2
Jul to Sep 2025 [p],Elizabeth line,"1,085,468",79.1,90.6,99.2,"4,179,127",78.2,90.4,99.2
Apr to Jun 2014,Govia Thameslink Railway,"2,532,433",67.0,86.3,98.8,"9,945,112",63.2,83.5,98.3
Jul to Sep 2014,Govia Thameslink Railway,"2,563,477",66.7,86.0,99.0,"9,961,656",62.9,83.0,98.3
Oct to Dec 2014,Govia Thameslink Railway,"2,451,297",57.0,78.0,98.0,"9,990,604",62.8,82.8,98.4
Jan to Mar 2015,Govia Thameslink Railway,"2,544,004",60.8,80.0,97.8,"10,091,211",62.9,82.6,98.4
Apr to Jun 2015,Govia Thameslink Railway,"2,615,993",65.9,85.1,98.6,"10,174,772",62.7,82.3,98.4
Jul to Sep 2015,Govia Thameslink Railway,"2,648,355",62.2,82.7,98.5,"10,259,649",61.6,81.5,98.2
Oct to Dec 2015,Govia Thameslink Railway,"2,740,383",52.5,74.2,97.4,"10,548,735",60.3,80.4,98.1
Jan to Mar 2016,Govia Thameslink Railway,"2,821,590",57.4,78.5,98.0,"10,826,321",59.4,80.0,98.1
Apr to Jun 2016,Govia Thameslink Railway,"2,725,750",57.6,78.2,97.4,"10,936,077",57.4,78.3,97.8
Jul to Sep 2016,Govia Thameslink Railway,"2,704,141",54.0,74.7,96.8,"10,991,864",55.4,76.4,97.4
Oct to Dec 2016,Govia Thameslink Railway,"2,664,188",48.8,69.5,96.1,"10,915,669",54.5,75.3,97.1
Jan to Mar 2017,Govia Thameslink Railway,"2,808,796",58.4,78.4,97.8,"10,902,874",54.8,75.3,97.0
Apr to Jun 2017,Govia Thameslink Railway,"2,993,871",64.5,83.7,98.7,"11,170,995",56.7,76.8,97.4
Jul to Sep 2017,Govia Thameslink Railway,"2,994,936",63.5,82.9,98.8,"11,461,790",59.1,78.9,97.9
Oct to Dec 2017,Govia Thameslink Railway,"2,950,967",56.3,76.4,97.8,"11,748,570",60.7,80.4,98.3
Jan to Mar 2018,Govia Thameslink Railway,"2,924,560",61.3,80.7,98.4,"11,864,334",61.4,80.9,98.4
Apr to Jun 2018,Govia Thameslink Railway,"2,985,120",67.6,84.3,98.3,"11,855,583",62.2,81.1,98.3
Jul to Sep 2018,Govia Thameslink Railway,"3,172,554",70.6,85.9,98.2,"12,033,201",64.1,81.9,98.2
Oct to Dec 2018,Govia Thameslink Railway,"3,152,204",66.3,83.8,98.6,"12,234,438",66.5,83.7,98.4
