"Table 3123: Trains planned and cancellations by operator and cause, Great Britain, quarterly data, April 2019 to September 2025 [p] [r]",,,,,,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,,,,,,,
"Some shorthand is used in this table,  [p] = provisional data, [r] = revised data, [z] = data not applicable, [x] = data not available",,,,,,,,,,,,,,,
Time period,National or Operator,Number of trains planned ,Number of trains part cancelled,Number of trains full cancelled,Cancellations,"Cancellations by responsibility, infrastructure and network management","Cancellations by responsibility, infrastructure owner external event","Cancellations by responsibility, train operator fault","Cancellations by responsibility, operator external event","Quarterly cancellations
(percentage) ","Moving annual average cancellations 
(percentage)",,,,
Apr to Jun 2020,TransPennine Express,"15,991",221,157,267,[x],[x],[x],[x],1.7,8.1,,,,
Jul to Sep 2020,TransPennine Express,"23,068",348,207,381,[x],[x],[x],[x],1.7,7.0,,,,
Oct to Dec 2020,TransPennine Express,"23,217",433,302,518,[x],[x],[x],[x],2.2,3.9,,,,
Jan to Mar 2021,TransPennine Express,"17,634",485,336,579,[x],[x],[x],[x],3.3,2.2,,,,
Apr to Jun 2021,TransPennine Express,"24,672",343,198,370,[x],[x],[x],[x],1.5,2.1,,,,
Jul to Sep 2021,TransPennine Express,"25,141",408,254,458,[x],[x],[x],[x],1.8,2.1,,,,
Oct to Dec 2021,TransPennine Express,"24,592",722,548,910,[x],[x],[x],[x],3.7,2.5,,,,
Jan to Mar 2022,TransPennine Express,"21,627",615,811,"1,119",[x],[x],[x],[x],5.2,3.0,,,,
Apr to Jun 2022,TransPennine Express,"19,748",536,729,997,[x],[x],[x],[x],5.0,3.8,,,,
Jul to Sep 2022,TransPennine Express,"21,216",765,954,"1,337",[x],[x],[x],[x],6.3,5.0,,,,
Oct to Dec 2022,TransPennine Express,"18,200",695,"1,029","1,376",[x],[x],[x],[x],7.6,6.0,,,,
Jan to Mar 2023,TransPennine Express,"20,020",673,"1,156","1,493",[x],[x],[x],[x],7.5,6.6,,,,
Apr to Jun 2023,TransPennine Express,"22,755",787,836,"1,230",[x],[x],[x],[x],5.4,6.6,,,,
Jul to Sep 2023,TransPennine Express,"24,444",868,771,"1,206",[x],[x],[x],[x],4.9,6.2,,,,
Oct to Dec 2023,TransPennine Express,"25,466","1,025","1,002","1,515",[x],[x],[x],[x],5.9,5.9,,,,
Jan to Mar 2024,TransPennine Express,"25,919",677,446,785,[x],[x],[x],[x],3.0,4.8,,,,
Apr to Jun 2024,TransPennine Express,"26,009",630,466,781,[x],[x],[x],[x],3.0,4.2,,,,
Jul to Sep 2024,TransPennine Express,"27,167",918,638,"1,097",[x],[x],[x],[x],4.0,4.0,,,,
Oct to Dec 2024,TransPennine Express,"27,147",985,973,"1,465",[x],[x],[x],[x],5.4,3.9,,,,
Jan to Mar 2025,TransPennine Express,"28,686","1,050",672,"1,197",[x],[x],[x],[x],4.2,4.2,,,,
Apr to Jun 2025,TransPennine Express,"29,739","1,100",630,"1,180",[x],[x],[x],[x],4.0,4.4,,,,
Jul to Sep 2025,TransPennine Express,"29,807","1,207",732,"1,335",[x],[x],[x],[x],4,4,,,,
Apr to Jun 2019,West Midlands Trains,"109,636","2,473","1,478","2,715",[x],[x],[x],[x],2.5,[z],,,,
Jul to Sep 2019,West Midlands Trains,"110,146","3,884","3,343","5,285",[x],[x],[x],[x],4.8,[z],,,,
Oct to Dec 2019,West Midlands Trains,"106,042","4,979","5,678","8,168",[x],[x],[x],[x],7.7,[z],,,,
Jan to Mar 2020,West Midlands Trains,"106,519","3,278","4,293","5,932",[x],[x],[x],[x],5.6,5.1,,,,
Apr to Jun 2020,West Midlands Trains,"67,335",547,444,718,[x],[x],[x],[x],1.1,5.2,,,,
Jul to Sep 2020,West Midlands Trains,"85,523","1,206","1,335","1,939",[x],[x],[x],[x],2.3,4.6,,,,
Oct to Dec 2020,West Midlands Trains,"94,795","1,520","1,850","2,611",[x],[x],[x],[x],2.8,3.2,,,,
Jan to Mar 2021,West Midlands Trains,"81,298","1,339","1,363","2,033",[x],[x],[x],[x],2.5,2.2,,,,
Apr to Jun 2021,West Midlands Trains,"94,801","1,953","2,491","3,468",[x],[x],[x],[x],3.7,2.8,,,,
Jul to Sep 2021,West Midlands Trains,"99,641","2,131","4,121","5,186",[x],[x],[x],[x],5.2,3.6,,,,
Oct to Dec 2021,West Midlands Trains,"100,026","2,816","4,344","5,752",[x],[x],[x],[x],5.8,4.4,,,,
Jan to Mar 2022,West Midlands Trains,"96,033","2,143","2,965","4,037",[x],[x],[x],[x],4.2,4.7,,,,
Apr to Jun 2022,West Midlands Trains,"93,911","2,157","3,008","4,086",[x],[x],[x],[x],4.4,4.9,,,,
Jul to Sep 2022,West Midlands Trains,"98,258","2,788","3,287","4,681",[x],[x],[x],[x],4.8,4.8,,,,
Oct to Dec 2022,West Midlands Trains,"85,408","2,519","3,061","4,321",[x],[x],[x],[x],5.1,4.6,,,,
Jan to Mar 2023,West Midlands Trains,"87,752","1,930","1,458","2,423",[x],[x],[x],[x],2.8,4.2,,,,
Apr to Jun 2023,West Midlands Trains,"92,055","2,141","2,420","3,490",[x],[x],[x],[x],3.8,4.1,,,,
Jul to Sep 2023,West Midlands Trains,"91,980","2,110","3,015","4,070",[x],[x],[x],[x],4.4,4.0,,,,
Oct to Dec 2023,West Midlands Trains,"93,423","2,786","3,846","5,239",[x],[x],[x],[x],5.6,4.2,,,,
Jan to Mar 2024,West Midlands Trains,"95,961","1,849","2,312","3,237",[x],[x],[x],[x],3.4,4.3,,,,
Apr to Jun 2024,West Midlands Trains,"98,874","2,270","3,211","4,346",[x],[x],[x],[x],4.4,4.4,,,,
Jul to Sep 2024,West Midlands Trains,"103,842","2,758","4,460","5,839",[x],[x],[x],[x],5.6,4.8,,,,
Oct to Dec 2024,West Midlands Trains,"101,121","3,250","4,886","6,511",[x],[x],[x],[x],6.4,5.0,,,,
Jan to Mar 2025,West Midlands Trains,"102,508","2,350","1,898","3,073",[x],[x],[x],[x],3.0,4.9,,,,
Apr to Jun 2025,West Midlands Trains,"104,523","2,355","2,133","3,311",[x],[x],[x],[x],3.2,4.5,,,,
Jul to Sep 2025,West Midlands Trains,"105,012","2,614","2,483","3,790",[x],[x],[x],[x],4,4,,,,
,,,,,,,,,,,,,,,
